Rank,City,State,Popullation,
,,,,
1,New York, New York,"8,804,194",
2,Los Angeles, California,"3,898,767",
3,Chicago, Illinois,"2,746,352",
4,Houston, Texas,"2,301,572",
5,Phoenix, Arizona,"1,608,190",
6,Philadelphia, Pennsylvania,"1,603,799",
7,San Antonio, Texas,"1,434,367",
8,San Diego, California,"1,386,960",
9,Dallas, Texas,"1,304,317",
10,Austin, Texas,"961,900",
11,Jacksonville, Florida,"949,616",
12,San Jose, California,"1,013,221",
13,Fort Worth, Texas,"918,937",
14,Columbus, Ohio,"905,839",
15,Charlotte, North Carolina,"874,607",
16,Indianapolis (balance), Indiana,"887,661",
17,San Francisco, California,"873,959",
18,Seattle, Washington,"737,018",
19,Denver, Colorado,"715,538",
20,Oklahoma, Oklahoma,"681,084",
21,Nashville-Davidson metropolitan government (balance), Tennessee,"689,454",
22,El Paso, Texas,"678,697",
23,Washington, District of Columbia,"689,546",
24,Las Vegas, Nevada,"644,866",
25,Boston, Massachusetts,"675,632",
26,Portland, Oregon,"652,518",
27,Louisville/Jefferson County metro government (balance), Kentucky,"632,550",
28,Memphis, Tennessee,"631,539",
29,Detroit, Michigan,"639,115",
30,Baltimore, Maryland,"585,693",
31,Milwaukee, Wisconsin,"577,225",
32,Albuquerque, New Mexico,"564,581",
33,Tucson, Arizona,"542,656",
34,Fresno, California,"542,252",
35,Sacramento, California,"524,924",
36,Mesa, Arizona,"504,300",
37,Kansas, Missouri,"507,971",
38,Atlanta, Georgia,"498,722",
39,Colorado Springs, Colorado,"479,016",
40,Omaha, Nebraska,"491,743",
41,Raleigh, North Carolina,"467,762",
42,Virginia Beach, Virginia,"459,471",
43,Long Beach, California,"466,775",
44,Miami, Florida,"442,260",
45,Oakland, California,"440,660",
46,Minneapolis, Minnesota,"429,985",
47,Tulsa, Oklahoma,"413,123",
48,Bakersfield, California,"404,440",
49,Tampa, Florida,"384,661",
50,Wichita, Kansas,"397,547",
51,Arlington, Texas,"394,257",
52,Aurora, Colorado,"386,324",
53,New Orleans, Louisiana,"383,998",
54,Cleveland, Ohio,"372,632",
55,Anaheim, California,"346,825",
